날짜	직업	등수	참가자	덱코드	대회코드	카드
2026-02-21	ドラゴン	7	15	4V336	1475787	{'ブレイジングブレス': 3, 'ワイバーンガード バリィ': 3, '干絶の飢餓・ギルネリーゼ': 2, 'シェフィ': 3, 'ドラゴニックレイジ': 3, 'ドラゴニュートの威圧': 3, '竜の託宣': 3, 'いつか、また会う未来で': 3, '天使の恩寵': 3, '竜の怒り': 3, '竜の翼': 2, '《世界》・ゼルガネイア': 2, 'ゴッドバレットゴーレム': 1, '最果ての罪・サタン': 1, '無謀なる戦': 2, 'リントヴルム': 3}
2026-02-21	ロイヤル	8	15	7ADW4	1475787	{'区役所の丙種職員': 3, '死角の観測員': 3, '異端の調査協力': 3, '炎術検定A級': 3, '戦技斬刀': 3, 'ギガブレード': 3, '新約都市・透京': 1, '隘路の調査員': 3, '魔汚区役所職員・災藤': 3, 'ロストサムライ・カゲミツ': 3, '簒奪の信者': 2, '全識の六銘伝・シンラ': 3, 'ワイルドメディエーター・ガンマ': 3, 'ダークセイバー・メリッサ': 1, '俯瞰の捜査員': 3}
2026-02-21	ナイトメア	1	12	4966C	1477393	{'マンマル1号': 3, 'メカニカルガンナー': 3, '紅のワルツ': 3, '鋼鉄の希望': 3, 'デッドペナルティ': 2, 'ファースト・ワン': 3, '永続の機構・ニコラ': 2, '真紅の抗戦者・モノ': 3, '創出の紫紺・エンネア': 3, 'フロートボードマーセナリー': 3, 'マンマル2号': 3, '禁絶の腕・ニコラ': 3, '悠久の真紅・モノ': 3, '紫紺の抵抗者・エンネア': 1, '絆の共振': 2}
2026-02-21	ナイトメア	2	12	2UTJU	1477393	{'ストレイホロウ・イルガンノ': 3, 'ソウルガイド・エイミー': 2, '友魂の少女・ルナ': 3, 'デッドペナルティ': 3, '憧れの飛躍・イツルギ': 3, 'ゴールドラッシュゴースト': 3, '死期を視るもの・グレモリー': 2, '幽霊支配人・アーカス': 3, '異形': 3, '大ツルハシの骸': 1, '佰死と佰亡の六銘伝・イルゼ＆ウルゼ': 3, '瞑地の天宮・ムカン': 1, '人外魔境・クリストフ': 3, '奔放なる獄炎・ケルベロス': 3, 'カオスルーラー・アイシィレンドリング': 2, 'ブラックスワン・オディール': 2}
2026-02-21	ナイトメア	3	12	6ULCG	1477393	{'ストレイホロウ・イルガンノ': 3, 'ソウルガイド・エイミー': 2, '友魂の少女・ルナ': 3, 'デッドペナルティ': 3, '憧れの飛躍・イツルギ': 3, 'ゴールドラッシュゴースト': 3, '死期を視るもの・グレモリー': 1, '幽霊支配人・アーカス': 3, '異形': 3, '大ツルハシの骸': 2, '佰死と佰亡の六銘伝・イルゼ＆ウルゼ': 3, '瞑地の天宮・ムカン': 2, '人外魔境・クリストフ': 3, '奔放なる獄炎・ケルベロス': 3, 'カオスルーラー・アイシィレンドリング': 1, 'ブラックスワン・オディール': 2}
2026-02-21	プリンセスコネクト！Re:Dive	4	12	530MS	1477393	{'オーロラヒーリング': 3, 'コールオブギルド': 3, 'イリヤ': 1, 'クロエ': 3, 'シェフィ': 3, 'チエル': 3, '真理と実存の共同幻想': 2, 'ダークエクリプス': 3, 'ちぇるちぇる☆かあにばる': 3, 'ペコリーヌ': 2, 'いつか、また会う未来で': 3, 'プリンセスストライク': 1, 'エリス': 3, 'キャル': 3, 'サレン': 1, 'ユニ': 3}
2026-02-21	プリンセスコネクト！Re:Dive	5	12	4Y9Q0	1477393	{'オーロラヒーリング': 3, 'コールオブギルド': 3, 'イリヤ': 1, 'クロエ': 3, 'シェフィ': 3, 'チエル': 3, 'マホ': 2, '真理と実存の共同幻想': 2, 'ダークエクリプス': 3, 'ちぇるちぇる☆かあにばる': 2, 'ペコリーヌ': 2, 'いつか、また会う未来で': 3, 'プリンセスストライク': 2, 'エリス': 3, 'キャル': 2, 'ユニ': 3}
2026-02-21	プリンセスコネクト！Re:Dive	6	12	3LKP2	1477393	{'アネモネ': 2, 'クローチェ': 3, 'イノリ': 3, 'ヴルム': 2, 'シェフィ': 3, 'ネビア': 2, 'ムイミ': 3, 'リンド': 3, 'ペコリーヌ': 3, 'いつか、また会う未来で': 3, 'エリス': 2, 'サレン': 3, 'ホマレ': 3, 'カヤ': 3, 'ライラエル': 2}
2026-02-21	ナイトメア	7	12	30JC0	1477393	{'ストレイホロウ・イルガンノ': 3, 'ソウルガイド・エイミー': 2, '友魂の少女・ルナ': 3, 'デッドペナルティ': 3, '憧れの飛躍・イツルギ': 3, 'ゴールドラッシュゴースト': 2, '死期を視るもの・グレモリー': 2, '幽霊支配人・アーカス': 3, '異形': 3, '大ツルハシの骸': 1, '佰死と佰亡の六銘伝・イルゼ＆ウルゼ': 3, '瞑地の天宮・ムカン': 2, '人外魔境・クリストフ': 3, '奔放なる獄炎・ケルベロス': 3, 'カオスルーラー・アイシィレンドリング': 2, 'ブラックスワン・オディール': 2}
2026-02-21	エルフ	8	12	35C7E	1477393	{'クロスボウスナイパー': 3, '宿命の狐火・セッカ': 3, 'ベルエンジェル・リア': 3, 'リマ': 2, 'オーロラヒーリング': 3, '九尾の決意': 2, '薫交の思慕': 3, '自然の導き': 3, '対空射撃': 1, 'ナチュラル・マナ': 1, '万象の加護': 1, 'フラワーブリーズ': 1, 'むつらの刻印': 2, '不殺の狂信者': 3, 'マーベラスサンデー': 2, 'はやい！うまい！はやい！': 1, '不殺の刻印': 1, '不殺の円陣': 3, 'ノーブルフェアリー': 3, '不殺の使徒': 3, 'エクスキューション': 1, '獣戦士・セタス': 3, 'キングエレファント': 2}
